AIDS,SIDA
GREECE,GRECIA (F)
GREEK,GREC (M), GRECOAICĂ (F), GREACĂ (F), GRECI (M'P), GRECOAICE (F'P), GRECE (F'P)
GREENLAND,GROENLANDA (F)
GUATEMALA,GUATEMALA (F)
GUINEA,GUINEEA-BISSAU (F)
GUJARATI,GUJARATI
GULF OF FINLAND,GOLFUL FINLANDEI; GOLFUL FINIC
GUYANA,GUYANA (F)
HAPPY NEW YEAR,LA MULȚI ANI; UN AN NOU FERICIT
HEBREW,LIMBA EBRAICĂ (F); EBRAICĂ (F)
HINDI,HINDUSĂ
HOKKAIDO,HOKKAIDO
HOLLAND,OLANDA (F)
HOLOCAUST,HOLOCAUST
HOLY SPIRIT,DUHUL SFÂNT (M)
HONDURAS,HONDURAS (N)
HONG KONG,HONG KONG
HUNGARIAN,UNGUR (M); MAGHIAR (M); UNGUROAICĂ (F); MAGHIARĂ (F)
HUNGARY,UNGARIA (F)
I,EU
I AM ENGLISH,EU SUNT ENGLEZ (M); EU SUNT ENGLEZOIACĂ (F)
I HAVE A QUESTION,AM O ÎNTREBARE
I LOVE YOU,TE IUBESC, TE ADOR
I NEED AN INTERPRETER,AM NEVOIE DE UN INTERPRET
ICELAND,ISLANDA (F)
INDIA,INDIA (F)
INDIAN OCEAN,OCEANUL INDIAN (N)
INDONESIA,INDONEZIA (F)
INTERLINGUA,INTERLINGUA
INTERNATIONAL PHONETIC ALPHABET,ALFABETUL FONETIC INTERNAȚIONAL (N)
IRAN,IRAN (N) 
IRAQ,IRAK (N)
IRELAND,IRLANDA (F)
IRISH,IRLANDEZĂ (F)
ISLAM,ISLAM
ISRAEL,ISRAEL (N)
ITALIAN,ITALIAN
ITALY,ITALIA (F)
JAMAICA,JAMAICA (F)
JANUARY,IANUARIE (M); GERAR; CĂRINDAR
JAPAN,JAPONIA (F)
JAPANESE,JAPONEZ (M), JAPONEZĂ (F), JAPONEZI (M'P), JAPONEZE (F'P)
JERUSALEM,IERUSALIM
JESUS,IISUS
JESUS CHRIST,IISUS HRISTOS (M); ISUS CRISTOS (M)
JEW,EVREU (M), EVREICĂ (F)
JEWISH,EVREIESC
JOHN,IOAN, ION, IONEL
JORDAN,IORDANIA (F)
JOSEPH,IOSIF
JUDAISM,IUDAISM (N)
JULY,IULIE; CUPTOR
JUNE,IUNIE; CIREȘAR
JUPITER,JUPITER (M)
KARNATAKA,KARNATAKA
KAZAKHSTAN,KAZAHSTAN (N)
KENYA,KENYA (F)
KHARTOUM,KHARTOUM
KHRUSHCHEV,HRUȘCIOV
KOREA,COREEA (F)
KOSOVO,KOSOVO
KURDISH,CURDĂ
KUWAIT,KUWAIT; KUWEIT (N)
KYRGYZSTAN,KÎRGÎSTAN (N)
LAOS,LAOS (N)
LATIN,LIMBĂ LATINĂ (F); LATINĂ (F)
LATIN ALPHABET,ALFABETUL LATIN (N)
LATVIA,LETONIA (F)
LATVIAN,LETONĂ
LEBANON,LIBAN (M)
LEO,LEON
LESOTHO,LESOTHO (N)
LIBERIA,LIBERIA (F)
LIBYA,LIBIA (F)
LIECHTENSTEIN,LICHTENSTEIN (N)
LISBON,LISABONA
LITHUANIA,LITUANIA (F)
LONDON,LONDRA (F)
LUXEMBOURG,LUXEMBURG (N)
LYONS,LYON
MACEDONIA,MACEDONIA (F)
MADRID,MADRID
MAGNA CARTA,MAGNA CHARTA LIBERTATUM (F)
MALAYSIA,MALAIEZIA (F)
MALDIVES,MALDIVE (F)
MALTA,MALTA (F)
MANCHURIA,MANCIURIA (F)
MAOISM,MAOISM
MARCH,MARTIE; MĂRȚIȘOR
MARS,МАRTE
MARSHALL ISLANDS,INSULELE MARSHALL
MARY,MARIA
MATTHEW,MATEI
MAURITANIA,MAURITANIA (F)
MAURITIUS,MAURITIUS (N)
MAY,MAI; FLORAR
MEDITERRANEAN SEA,MAREA MEDITERANĂ
MERCURY,MERCUR (M)
MERRY CHRISTMAS,CRĂCIUN FERICIT
MERRY CHRISTMAS AND A HAPPY NEW YEAR,CRĂCIUN FERICIT ȘI UN AN NOU BUN; SĂRBĂTORI FERICITE
MEXICO,MEXIC (N)
MICHAEL,MIHAI
MIDDLE EAST,ORIENT MIJLOCIU (N)
MISS,DOMNIȘOARA (F) 
MOLDOVA,(F)
MONACO,MONACO (N)
MONDAY,LUNI (F)
MONGOLIA,MONGOLIA (F)
MONGOLIAN,MONGOL (M); MONGOLA (F); MONGOLI (M); MONGOLE (F)
MOROCCO,MAROC (N)
MOSCOW,MOSCOVA (F)
MOUNT EVEREST,EVEREST
MOZAMBIQUE,MOZAMBIC (N)
MRS,DNA
MUHAMMAD,MAHOMED
MUMBAI,MUMBAY
MUNICH,MÜNCHEN
MUSLIM,MUSULMAN (M)
MYANMAR,MYANMAR (N)
NAMIBIA,NAMIBIA (F)
NEPAL,NEPAL (N)
NEPTUNE,NEPTUN (M)
NETHERLANDS,OLANDA (F); ȚĂRILE DE JOS
NEW YORK CITY,NEW YORK
NEW ZEALAND,NOUA ZEELANDĂ (F)
NICARAGUA,NICARAGUA (F)
NICHOLAS,NICOLAE
NIGER,NIGER (N)
NIGERIA,NIGERIA (F)
NORTH AMERICA,AMERICA DE NORD (F); NORD-AMERICA (F)
NORTH KOREA,COREEA DE NORD (F)
NORTH SEA,MAREA NORDULUI
NORTHERN EUROPE,EUROPA DE NORD (F)
NORWAY,NORVEGIA (F)
NORWEGIAN,NORVEGIANĂ (F)
NOVEMBER,NOIEMBRIE (M); BRUMAR
OCCITAN,LIMBA OCCITANĂ (F); OCCITANĂ (F)
OCEANIA,OCEANIA
OCTOBER,OCTOMBRIE; BRUMĂREL
OLYMPIC GAMES,JOC'JOCURI OLIMPIC'OLIMPICE (N'P), OLIMPIC'OLIMPIADĂ (F)
OMAN,OMAN (N)
OTTOMAN EMPIRE,IMPERIUL OTOMAN (N)
PACIFIC OCEAN,OCEANUL PACIFIC (N)
PAKISTAN,PAKISTAN (N)
PANAMA,PANAMA (F)
PAPUA NEW GUINEA,PAPUA-NOUA GUINEE (F)
PERSIAN,PERSANĂ (F)
PERU,PERU (N)
PHILIPPINES,FILIPINE (F)
PISCES,PEȘTI
POLAND,POLONIA (F)
POLISH,POLONEZĂ (F)
PORTUGAL,PORTUGALIA (F)
PORTUGUESE,PORTUGHEZ (M), PORTUGHEZĂ (F), PORTUGHEZI (P), PORTUGHEZE (F'P)
PRAGUE,PRAGA
PYTHAGORAS,PITAGORA
QATAR,QATAR (N)
RED SEA,MAREA ROȘIE
RICHARD,RICIARD, RICIARDU
ROMAN,ROMAN
ROMANIA,ROMÂNIA (F)
ROMANIAN,ROMÂNĂ (F); LIMBA ROMÂNĂ (F); ROMÂNEȘTE
RUSSIA,RUSIA (F)
RUSSIAN,RUSESC
RUSSIAN FEDERATION,FEDERAȚIA RUSĂ (F)
RWANDA,RUANDA (F)
SAN MARINO,SAN MARINO
SANSKRIT,LIMBA SANSCRITĂ (F)
SANTA CLAUS,MOȘ CRĂCIUN (M)
SATAN,SATAN (M); SATANĂ; DIAVOL (M); DRAC (M)
SATURDAY,SÂMBĂTĂ (F)
SATURN,SATURN
SAUDI ARABIA,ARABIA SAUDITĂ (F)
SCOTLAND,SCOȚIA (F)
SENEGAL,SENEGAL (N)
SEPTEMBER,SEPTEMBRIE; RĂPCIUNE; VINCER
SERB,SÂRB
SERBIA AND MONTENEGRO,SERBIA ȘI MUNTENEGRU
SERBIAN,SÂRB
SHINTO,ȘINTOISM
SIBERIA,SIBERIA (F)
SICILY,SICILIA
SINGAPORE,SINGAPORE
SLOVAKIA,SLOVACIA (F)
SLOVENE,SLOVENĂ (F); LIMBA SLOVENĂ (F)
SLOVENIA,SLOVENIA (F)
SNOW WHITE,ALBA CA ZĂPADA (F)
SOCHI,SOCI
SOLAR SYSTEM,SISTEM SOLAR (N)
SOMALIA,SOMALIA (F)
SOPHOCLES,SOFOCLE
SOUTH AFRICA,AFRICA DE SUD (F)
SOUTH AMERICA,AMERICA DE SUD (F)
SOUTH KOREA,COREEA DE SUD (F)
SOUTH OSSETIA,OSETIA DE SUD (F)
SOUTHEAST ASIA,ASIA DE SUD-EST (F)
SOVIET UNION,UNIUNEA SOVIETICĂ (F)
SPAIN,SPANIA (F)
SPANISH,SPANIOL
SPARTA,SPARTA
SRI LANKA,SRI LANCA
SUDAN,SUDAN (N)
SUEZ CANAL,CANALUL SUEZ
SUNDAY,DUMINICĂ (F)
SURINAME,SURINAM (N)
SWEDEN,SUEDIA (F)
SWEDISH,SUEDEZĂ; LIMBA SUEDEZĂ (F)
SWITZERLAND,ELVEȚIA (F)
SYRIA,SIRIA (F)
TAIWAN,TAIVAN; TAIWAN (N)
TAJIKISTAN,TADJIKISTAN (N)
TALLINN,TALLINN
TANGANYIKA,LACUL TANGANYIKA
TANZANIA,TANZANIA (F)
TBILISI,TBILISI
TEHRAN,TEHERAN
TEL AVIV,TEL AVIV
TEN COMMANDMENTS,CELE ZECE PORUNCI
THAI,TAILANDEZĂ (F)
THAILAND,TAILANDA, THAILANDA (F)
THE HAGUE,HAGA
THURSDAY,JOI (F)
TOGO,TOGO (N)
TRANSNISTRIA,TRANSNISTRIA (F)
TRANSYLVANIA,TRANSILVANIA (F); ARDEAL
TUESDAY,MARȚI (F)
TUNISIA,TUNISIA (F)
TURKEY,TURCIA (F)
TURKISH,TURCĂ (F)
TURKMENISTAN,TURKMENISTAN (N)
USA,SUA (F)
USSR,URSS
UGANDA,UGANDA (F)
UKRAINE,UCRAINA (F)
UKRAINIAN,UCRAINIANĂ (F)
UNION OF SOVIET SOCIALIST REPUBLICS,UNIUNEA REPUBLICILOR SOVIETICE SOCIALISTE (F)
UNITED ARAB EMIRATES,EMIRATELE ARABE UNITE (N)
UNITED KINGDOM,MAREA BRITANIE (F); REGATUL UNIT AL MARII BRITANII ȘI IRLANDEI DE NORD (N); REGATUL UNIT (N)
UNITED STATES,STATELE UNITE (F'P)
UNITED STATES OF AMERICA,STATELE UNITE ALE AMERICII (F); SUA; STATELE UNITE (N)
URANUS,URANUS (M)
URUGUAY,URUGUAY (N)
UZBEKISTAN,UZBEKISTAN (N)
VALKYRIE,WALKIRIE
VATICAN CITY,VATICAN (N); 'SOMETIMES' SFÂNTUL SCAUN (N)
VENEZUELA,VENEZUELA (F)
VENUS,VENUS
VICTORY DAY,ZIUA VICTORIEI (F)
VIENNA,VIENA (F)
VIETNAM,VIETNAM (N)
VISHNU,VIȘNU
WALES,ȚARA GALILOR (F); WALES (N)
WEDNESDAY,MIERCURI (F)
WESTERN EUROPE,EUROPA DE VEST (F)
WESTERN SAHARA,SAHARA OCCIDENTALĂ (F)
WHITE HOUSE,CASA ALBĂ
WHITE SEA,MAREA ALBĂ (F)
WIKIPEDIA,WIKIPEDIA
WIKTIONARY,WIKȚIONAR (N)
WILLIAM,VILHELM
WORLD WAR II,AL DOILEA RĂZBOI MONDIAL (M)
WROCLAW,WROCŁAW
YANGTZE,YANGTZE
YEMEN,YEMEN (N)
YEREVAN,EREVAN
ZAGREB,ZAGREB
ZAMBIA,ZAMBIA (F)
AARDVARK,PORCUL TERMITELOR (M)
ABACUS,ABAC (N)
ABANDON,PĂRĂSI; ABANDONA
ABBREVIATION,ABREVIERE (F); PRESCURTARE (F); ABREVIAȚIE (F)
ABDOMEN,ABDOMEN (N); BURTĂ (F)
ABSOLUTE ZERO,ZERO ABSOLUT (N)
ACCUSATIVE,ACUZATIV (N); CAZ ACUZATIV (N)
ACID,ACID (M)
ACORN,GHINDĂ (F)
ACTINIUM,ACTINIU (N)
ACTOR,ACTOR (M); ACTRIȚĂ (F)
ADJECTIVE,ADJECTIVAL
ADMIRATION,ADMIRAȚIE (F)
ADVERB,ADVERB
ADVERTISEMENT,ANUNȚ (N) PUBLICITATE (F), RECLAMĂ (F)
AEROPLANE,AEROPLAN (M); AVION (M)
AFTER,DUPĂ; PESTE
AFTERNOON,DUPĂ-AMIAZĂ (F)
AGAIN,IARĂȘI; DIN NOU
AGE,VÂRSTĂ (F); ETATE (F)
AGGRESSIVE,AGRESIV
AIR,AER (N); ETER; ATMOSFERĂ
AIRCRAFT,AVION (N); AERONAVĂ (F); ZBOR (N); AEROPLAN (N)
AIRPLANE,AVION (N)
AIRPORT,AEROPORT (N)
AL,AL-QAIDA
ALGORITHM,ALGORITM (M); ALGORITMI (M)
ALIVE,VIU
ALKYNE,ALCHINĂ
ALL,TOT
ALL RIGHTS RESERVED,TOATE DREPTURILE REZERVATE
ALLIGATOR,ALIGATOR (M)
ALMOND,MIGDALĂ (F)
ALMOST,APROAPE
ALPHABET,ALFABET (N)
ALREADY,DEJA
ALSO,ȘI; DE ASEMENEA; ÎNCĂ
ALUMINIUM,ALUMINIU (N)
ALWAYS,TOTDEAUNA; MEREU; ÎNTOTDEAUNA
AM,SUNT
AMERICIUM,AMERICIU (N)
AMPERSAND,SEMNUL & (ȘI)
AN,UN (M); O (F)
ANAL SEX,SEX ANAL (N)
ANARCHISM,ANARHISM
ANCHOR,ANCORĂ (F)
AND,ȘI
ANGEL,ÎNGER (M)
ANIMAL,ANIMAL (N); FIARĂ (F) 
ANKLE,GLEZNĂ (F)
ANSWER,RĂSPUNS (N)
ANT,FURNICĂ (F)
ANTHRAX,ANTRAX (M)
ANTIMONY,ANTIMONIU (N), STIBIU
ANTONYM,ANTONIM (N), ANTONIME 'N PLURAL'
ANUS,ANUS (N)
ANVIL,NICOVALĂ; ILĂU
APARTMENT,APARTAMENT (N)
APPLE,MĂR (N)
APPLE TREE,MĂR (M)
APRICOT,CAISĂ (F)
ARCHAEOLOGY,ARHEOLOGIE (F)
ARCHITECTURE,ARHITECTURĂ (F)
ARGENT,ARGINT (N)
ARGON,ARGON (N)
ARM,BRAȚ (N)
ARMPIT,SUBSUOARĂ (F)
ARMY,ARMATĂ; OASTE
ARROW,SĂGEATĂ (F)
ARSENIC,ARSEN (N)
ARTICHOKE,ANGHINARE (F)
ARTICLE,ARTICOL (N)
ASH,CENUȘĂ (F); SCRUM (M)
ASK,CERE; INVITA; RUGA
ASS,MĂGAR (M); ASIN (M)
ASTATINE,ASTATIN (N)
ASTEROID,ASTEROID (M); ASTEROIZI
ASTRONOMICAL UNIT,UNITATE ASTRONOMICĂ (F)
ASTRONOMY,ASTRONOMIE (F)
ASTROPHYSICS,ASTROFIZICĂ (F)
AT,LA
AT SIGN,COADĂ DE MAIMUȚĂ (F), A-ROND
ATHEISM,ATEISM
AUBERGINE,VÂNĂTĂ (F), VINETE (F'P)
AUTUMN,TOAMNĂ (F)
AVALANCHE,AVALANȘĂ
AWAKE,DEȘTEPTA; SCULA; TREZI
AXE,TOPOR; SECURE
AXIS,AXĂ (F)
BABY,BEBE (M); BEBELUȘ (M)
BABYSITTER,DOICĂ (F)
BACK,SPATE; DOS; SPINARE
BAD,RĂU
BADGER,VIEZURE (M); BURSUC (M)
BAGPIPES,CIMPOAIE (F)
BAKERY,BRUTARIE
BALCONY,BALCON (N)
BALD,CHEL
BALL,MINGE; BILĂ
BALLOON,BALON
BANANA,BANANĂ (F)
BANK,BANCĂ
BARCODE,COD DE BARE
BARIUM,BARIU (N)
BARK,SCOARȚĂ
BARLEY,ORZ (M)
BARN OWL,STRIGĂ
BASALT,BAZALT
BASEBALL,BASEBALL
BASKET,COȘ (M)
BASKETBALL,BASCHET
BAT,LILIAC (M)
BATHROOM,BAIE (F)
BATTERY,BATERIE (F); PILĂ ELECTRICĂ (F)
BATTLE,BĂTĂLIE (F)
BAY,GOLF (M)
BE,FI; EXISTA
BEACH,PLAJĂ (F)
BEAK,CIOC (F) AND (M)
BEAN,FASOLE (F)
BEAR,DA NAȘTERE
BEARD,BARBĂ (F)
BEAUTIFUL,FRUMOS (M); FRUMOASĂ (F)
BEAUTY,FRUMUSEȚE (F)
BEAVER,CASTOR
BECAUSE,PENTRU CĂ, DIN CAUZĂ CĂ, DATORITĂ
BECOME,DEVENI
BED,PAT (N)
BEDBUG,PLOȘNIȚĂ (F)
BEDROOM,DORMITOR (N), DORMITOARE 'N PLURAL'
BEE,ALBINĂ (F)
BEECH,FAG (M)
BEER,BERE (F)
BEETLE,GÂNDAC (M)
BEFORE,ÎNAINTE
BEGIN,ÎNCEPE
BELL,CLOPOT (N)
BELLY,BURTĂ; ABDOMEN; PÂNTECE; VINTRE
BELT,CENTURA
BERKELIUM,BERKELIU (N)
BERRY,BACĂ
BERYLLIUM,BERILIU (N)
BICYCLE,BICICLETĂ (F)
BIG,MARE
BILL,CIOC (F) AND (M)
BILLION,MILIARD (N)
BIOCHEMISTRY,BIOCHIMIE (F)
BIOLOGY,BIOLOGIE (F)
BIPOLAR DISORDER,TULBURARE BIPOLARĂ
BIRCH,MESTEACĂN
BIRD,PASĂRE (F)
BIRTH,NAȘTERE (F)
BIRTHDAY,ANIVERSARE; ZI DE NAȘTERE
BISCUIT,BISCUIT (M)
BISHOP,NEBUN (M)
BISMUTH,BISMUT (N)
BITCH,CĂȚEA (F); CĂȚELE (F)
BITE,MUȘCA
BITTER,AMAR
BLACK,NEGRU
BLACK GROUSE,COCOȘ-DE-MESTEACĂN
BLACK HOLE,GAURĂ NEAGRĂ (F)
BLACK WOODPECKER,CIOCĂNITOARE NEAGRĂ
BLACKBERRY,MURĂ (F)
BLACKBIRD,MIERLA-NEAGRĂ (F)
BLANKET,PĂTURĂ (F); VALTRAP
BLEED,SÂNGERA
BLESS YOU,SĂNĂTATE 
BLIND,ORB
BLOOD,SÂNGE (N)
BLUE,ALBASTRU
BOAR,MISTREȚ; VIER
BOAT,BARCĂ (F); LUNTRE (F)
BODY,CORP (N); TRUP (N)
BOHRIUM,BOHRIU (N)
BOMB,BOMBĂ (F)
BON APPÉTIT,POFTĂ BUNĂ
BON VOYAGE,CĂLĂTORIE PLĂCUTĂ; DRUM BUN
BONE,OS
BOOK,CARTE (F)
BOOKSHOP,LIBRĂRIE (F)
BOOT,CIZMĂ
BORON,BOR (N)
BOTH,AMÂNDOI
BOTTLE,STICLĂ (F)
BOW,ARC (M)
BOX,CUTIE (F)
BOY,BĂIAT; FIU
BRA,BRASIERĂ
BRAIN,CREIER (M)
BRANCH,RAM (N); RAMURĂ (F)
BREAD,PÂINE (F)
BREAKFAST,MIC DEJUN (N)
BREAST,PIEPT (M); SÂN
BREATHE,RESPIRA
BRICK,CĂRĂMIDĂ
BRIDE,MIREASĂ (F)
BRIDGE,POD (N), PODURI (N'P); PUNTE (F) ('SENSE': SMALL)
BROMINE,BROM (N)
BROOM,MĂTURĂ (F)
BROTHER,CUMNAT (M)
BROWN,MARO; BRUN
BRUSH,PERIE (F); (PAINT-) PENSULĂ (F)
BUCKET,GĂLEATĂ (F)
BUFFALO,BIZON (M)
BUILDING,CLĂDIRE (F); CONSTRUIRE (F); EDIFICARE (F)
BULL,TAUR
BULLET,GLONȚ (N); GLONTE (N)
BUMBLEBEE,BONDAR (M)
BURN,ARDE
BUS,AUTOBUZ (N)
BUSY,HARNIC
BUT,DAR
BUTCHER,MĂCELAR
BUTTER,UNT (N)
BUTTERFLY,FLUTURE (M)
BUY,CUMPĂRA
BUZZARD,ȘORECAR
CABBAGE,VARZĂ
CACTUS,CACTUS (M)
CADMIUM,CADMIU (N)
CAESIUM,CESIU (N)
CAFÉ,CAFENEA (F)
CAKE,TORT
CALCIUM,CALCIU (N)
CALENDAR,CALENDAR
CALF,VIȚEL
CALIFORNIUM,CALIFORNIU (N)
CAMEL,CĂMILĂ (F)
CAN,PUTEA
CANAL,CANAL (M)
CANCER,CANCER
CANDLE,LUMÂNARE
CANNABIS,CÂNEPĂ (F)
CANYON,DEFILEU
CAPERCAILLIE,COCOȘ-DE-MUNTE
CAPITAL,CAPITAL
CAPITAL CITY,CAPITALĂ (F)
CAPITALISM,CAPITALISM (N)
CAR,VAGON (N)
CARAMEL,CARAMEL; CARAMELĂ
CARBON,CARBON (N)
CARP,CRAP (M)
CARPENTER,DULGHER (M); TÂMPLAR (M)
CARPET,COVOR (F) AND (M)
CARROT,MORCOV (M); CAROTĂ (F)
CARRY,DUCE; PURTA; CĂRA
CASTLE,CASTEL (N)
CAT,PISICĂ (F); MOTAN (M); COTOI (M); MÂȚĂ (F)
CATERPILLAR,OMIDĂ (F); ȘENILĂ (F)
CAULIFLOWER,CONOPIDĂ (F)
CAVE,PEȘTERĂ (F); CAVERNĂ (F); GROTĂ (F)
CEDAR,CEDRU
CEILING,PLAFON (N); TAVAN (N)
CELL,CELULĂ (F)
CELL PHONE,TELEFON MOBIL
CENTER,MIJLOC; CENTRU
CENTIPEDE,CENTIPED
CENTURY,SECOL (N); VEAC (N)
CERIUM,CERIU (N)
CHAIN,LANȚ
CHAIR,SCAUN (N); SCAUNE (N)
CHAMOIS,(M)
CHANGE,SCHIMB (N); SCHIMBARE (F); MODIFICARE (F)
CHAOS,HAOS (N)
CHASE,A URMĂRI
CHEAP,IEFTIN
CHEEK,OBRAZ
CHEESE,BRÂNZĂ (F); CAȘ (N); CAȘCAVAL (N)
CHEETAH,GHEPARD (M)
CHEQUE,CEC
CHERRY,(SWEET CHERRY) CIREAȘĂ (F), (SOUR CHERRY) VIȘINĂ (F)
CHESS,ȘAH (N)
CHEST,TORACE (N)
CHESTNUT,CASTANĂ
CHEW,MESTECA
CHICKEN,PUI; GĂINĂ (F)
CHILD,COPIL (M), COPILĂ (F)
CHIMPANZEE,CIMPANZEU (M)
CHIN,BĂRBIE
CHLORINE,CLOR (N)
CHOCOLATE,CIOCOLATĂ (F)
CHOOSE,ALEGE
CHORD,ACORD
CHROMIUM,CROM (N)
CHURCH,BISERICĂ
CIGARETTE,ȚIGARĂ (F), ȚIGARETĂ (F)
CIRCLE,CERC
CITY,ORAȘ (N); CETATE (F); URBE (F)
CLARINET,#ROMANIAN'CLARINET (N), CLARINETĂ (F)
CLAY,ARGILĂ (F); LUT (N)
CLEAN,CURĂȚA; ȘTERGE
CLITORIS,CLITORIS (N); LINDIC 
CLOCK,CEAS (N)
CLOSE,ÎNCHIDE
CLOTHES,HAINE; ÎMBRĂCĂMINTE; RUFE
CLOUD,NOR (M)
COAST,COASTĂ, ȚĂRM DE MARE, COBORÂRE LA VALE, LIMAN, MAL, LIMITĂ, HOTAR
COBALT,COBALT (N)
COCK,COCOȘ (M)
COCKROACH,GÂNDAC (M)
COCONUT,NUCĂ DE COCOS (F)
COFFEE,CAFEA (F)
COFFIN,SICRIU (N); COȘCIUG (N)
COIN,MONEDĂ (F)
COLD,GRIPĂ (F); RĂCEALĂ (F)
COLD WAR,RĂZBOI RECE
COLLECT,CULEGE
COLOR,CULOARE (F)
COLUMBINE,CALDARUSA
COMB,PIEPTENE (M)
COME,VENI
COMMON GULL,UCAU MARINU, LARU, GAVINA
COMMUNISM,COMUNISM (N)
COMPANY,SOCIETATE (F); FIRMĂ (F); COMPANIE (F); ÎNTREPRINDERE (F)
COMPASS,BUSOLĂ (F); COMPAS (M)
COMPUTER,COMPUTER (N); CALCULATOR (N)
COMPUTER LANGUAGE,LIMBAJ DE PROGRAMARE
COMRADE,TOVARĂȘ (M)
CONCRETE,BETON (N)
CONDOM,PREZERVATIV (N)
CONJUNCTION,CONJUNCȚIE (F)
CONNECTIVE TISSUE,ȚESUT CONJUNCTIV
CONSCIENCE,CONȘTIINȚĂ (F)
CONVERSATION,CONVERSAȚIE (F); CONVORBIRE (F)
COPPER,CUPRU (M); ARAMĂ (F)
CORPSE,CADAVRU (N); CORP MORT (M)
CORRIDOR,CULOAR (F); CORIDOR (M)
COTTON,BUMBAC (M)
COUGH,TUȘI
COUNT,NUMĂRA
COUNTRY,ȚARĂ
COURAGE,CURAJ (N)
COW,VACĂ (F)
CRAB,CRAB (M)
CRANE,COCOR (M) 
CREAM,SMÂNTÂNĂ (F)
CRICKET,GREIER (M)
CROCODILE,CROCODIL
CROSS,CRUCE
CROSSWORD,CUVINTE ÎNCRUCIȘATE (F'P)
CROW,CIOARĂ (F)
CRUEL,CRUD; CRUNT; CUMPLIT
CRY,PLÂNGE
CRYSTAL,CRISTAL
CUBE,CUB
CUCKOO,CUC
CULTURE,CULTURĂ (F)
CUNT,PIZDĂ (F)
CUP,CEAȘCĂ (F)
CURIUM,CURIU (N)
CURRENT,CURENT (M); ȘUVOI (N); FLUX (N)
CURSE,BLESTEM (N)
CURTAIN,PERDEA (F); DRAPERIE (F) 
CUTE,DRĂGUȚ; DRĂGĂLAȘ
DANCE,DANSA
DANDRUFF,MĂTREAȚĂ
DANGEROUS,PERICULOS
DARK,MURG; ÎNCHIS; ÎNTUNECAT
DARK MATTER,MATERIE ÎNTUNECATĂ (F)
DATE,DATĂ (F)
DATE PALM,CURMAL (M)
DAUGHTER,NORĂ (F)
DAY,ZI (F)
DEAD,MORT
DEAF,SURD
DEAR,SCUMP (M)
DEATH,MOARTE (F)
DECADE,DECENIU (N); DECENII (N)
DEER,CERB (M); CIUTĂ (F); CĂPRIOARĂ
DELICIOUS,DELICIOS
DEMOCRACY,DEMOCRAȚIE
DEMON,DEMON (M)
DENTIST,DENTIST
DESERT,DEȘERT; PUSTIU
DEVIL,DRAC; DIAVOL; SATAN (M)
DEW,ROUĂ
DICK,PULĂ (F)
DICTIONARY,DICȚIONAR (N)
DIE,ZAR (M)
DIFFICULT,GREU, DIFÍCIL, ANEVOIOS, COMPLICAT
DIG,SĂPA
DINOSAUR,DINOZAUR (M); DINOZAURI (M)
DIRTY,MURDAR
DISCUSSION,DISCUȚIE (F); DISCUTARE (F); DEZBATERE (F)
DISEASE,BOALĂ (F); MALADIE (F)
DO,FACE
DO YOU SPEAK ENGLISH,VORBIȚI ENGLEZĂ?
DOBRA,DOBRA
DOCTOR,DOCTOR (M)
DOCUMENTATION,DOCUMENTAȚIE
DOG,(M)
DOLL,PĂPUȘĂ (F)
DOLPHIN,DELFIN (M)
DONATION,DONAȚIE (F), DONAȚII 'F PLURAL'
DONKEY,MĂGAR; ASIN (M)
DOOR,UȘĂ (F); UȘI (F)
DORMOUSE,ȘOARECE DE PĂDURE
DOUBT,DUBIU; ÎNDOIALĂ
DOUGH,ALUAT
DOUGHNUT,GOGOAȘĂ (F)
DOVE,PORUMBEL (M)
DOZEN,DUZINĂ (F)
DRAGON,BALAUR (M); DRAGON; ZMEU
DRAGONFLY,LIBELULĂ (F)
DRAWER,SERTAR (N)
DREAM,VISA
DRESS,ROCHIE (F), ROCHII (F'P)
DRINK,BĂUTURĂ (F)
DROMEDARY,DROMADER
DROP,PICĂTURĂ (F)
DRUNK,BEAT; BĂUT
DRY,USCAT
DUBNIUM,DUBNIU (N)
DUCK,RAȚĂ (F); RĂȚOI (M)
DUKE,DUCE (M)
DUST,PRAF (N); PULBERE (F); COLB (N)
DUTY,DATORIE (F)
DYNAMITE,DINAMITĂ
DYSPROSIUM,DISPROSIU (N)
E,E-MAIL (N); E-MAIL MESAJ (N)
E.G.,DE EXEMPLU; DE EX.; E.G.
EACH,FIECARE
EAGLE,ACVILĂ (F); ACERĂ; VULTUR; PAJURĂ
EAGLE OWL,BUFNIȚA (F)
EAR,URECHE (F)
EARLY,DEVREME; TIMPURIU
EARTH,PĂMÂNT (N); SOL (N)
EARTHQUAKE,CUTREMUR (N)
EARTHWORM,RÂMĂ (F)
EAST,EST
EAT,MÂNCA
ECHO,ECOU (N)
ECO,ECO-
ECOLOGY,ECOLOGIE (F)
ECONOMICS,ECONOMIE
EDIT,EDITARE (F)
EDUCATION,EDUCAȚIE (F); EDUCARE (F)
EEL,ANGHILĂ, ȚIPAR
EGG,OVUL (N)
EIGHT,OPT
EIGHTEEN,OPTSPREZECE
EIGHTH,AL OPTULEA (M), A OPTA (F)
EIGHTY,OPTZECI
EINSTEINIUM,EINSTEINIU (N)
EJACULATION,EJACULARE (F); EJACULAȚIE (F)
ELBOW,COT (N)
